,Colegio,Distrito,Latitud,Longitud,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2012-2013 Admitidas,2012-2013 Presentadas,2013-2014 Admitidas,2013-2014 Presentadas,2014-2015 Admitidas,2014-2015 Presentadas,2015-2016 Admitidas,2015-2016 Presentadas,2016-2017 Admitidas,2016-2017 Presentadas
0,Adolfo Suárez,HORTALEZA,40.4886026666,-3.65255442433,510.0,540.0,535.0,532.0,594.0,14.0,20.0,11.0,25.0,7.0,25.0,9.0,20.0,11.0,18.0
1,Agustina Díez,PUENTE DE VALLECAS,40.3881909372,-3.64723672492,276.0,256.0,265.0,255.0,234.0,8.0,12.0,3.0,3.0,6.0,6.0,3.0,3.0,3.0,3.0
2,Agustín Rodriguez Sahagún,VILLA DE VALLECAS,40.3680399849,-3.62216774288,449.0,551.0,576.0,572.0,541.0,9.0,32.0,5.0,23.0,10.0,33.0,1.0,33.0,0.0,51.0
3,Alberto Alcocer,SAN BLAS-CANILLEJAS,40.4333378228,-3.6120521749,367.0,358.0,334.0,330.0,309.0,12.0,18.0,5.0,15.0,8.0,12.0,5.0,8.0,3.0,9.0
4,Alcalde de Móstoles,LATINA,40.3798369029,-3.77644792993,128.0,123.0,137.0,138.0,141.0,6.0,6.0,7.0,7.0,3.0,4.0,2.0,4.0,1.0,4.0
5,Alfonso X El Sabio,VICALVARO,40.4032013845,-3.6036948781,290.0,279.0,261.0,272.0,251.0,11.0,14.0,6.0,6.0,5.0,7.0,4.0,4.0,4.0,8.0
6,Alhambra,FUENCARRAL-EL PARDO,40.4834934873,-3.72671832796,233.0,248.0,260.0,271.0,260.0,3.0,4.0,13.0,13.0,7.0,7.0,6.0,11.0,4.0,5.0
7,Amadeo Vives,LATINA,40.3974359377,-3.75539252914,280.0,265.0,266.0,269.0,268.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,7.0,8.0
8,Amador de los Ríos,SALAMANCA,40.4262796292,-3.66655782639,195.0,186.0,186.0,191.0,208.0,10.0,10.0,15.0,16.0,6.0,8.0,7.0,8.0,3.0,4.0
9,Amós Acero,PUENTE DE VALLECAS,40.3902233323,-3.66377503466,140.0,144.0,142.0,150.0,145.0,19.0,24.0,29.0,31.0,21.0,25.0,15.0,21.0,27.0,30.0
10,Antonio Fontan,FUENCARRAL-EL PARDO,40.5115782907,-3.69381806927,0.0,36.0,108.0,184.0,265.0,,,2.0,2.0,12.0,12.0,6.0,9.0,8.0,20.0
11,Antonio Machado,CARABANCHEL,40.3674254868,-3.75419755204,398.0,399.0,402.0,381.0,374.0,11.0,12.0,6.0,6.0,9.0,12.0,1.0,3.0,5.0,6.0
12,Antonio Moreno Rosales,CENTRO,40.4114705985,-3.70127479953,106.0,93.0,96.0,91.0,98.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
13,Antonio de Nebrija,VILLAVERDE,40.3518668309,-3.68618470745,432.0,404.0,420.0,424.0,437.0,13.0,13.0,5.0,5.0,6.0,10.0,0.0,6.0,6.0,11.0
14,Aragón,PUENTE DE VALLECAS,40.3924439301,-3.63737994091,125.0,117.0,112.0,110.0,111.0,,,1.0,1.0,7.0,7.0,0.0,0.0,5.0,5.0
15,Aravaca,MONCLOA-ARAVACA,40.4605761984,-3.78570374621,107.0,107.0,107.0,107.0,107.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0
16,Arcipreste de Hita,CARABANCHEL,40.3848159912,-3.72557425211,140.0,142.0,138.0,139.0,145.0,1.0,9.0,2.0,4.0,4.0,9.0,5.0,7.0,3.0,9.0
17,Arquitecto Gaudí,CHAMARTIN,40.465418281,-3.66906777282,220.0,209.0,202.0,210.0,213.0,15.0,15.0,9.0,9.0,6.0,6.0,17.0,17.0,19.0,22.0
18,Asturias,PUENTE DE VALLECAS,40.3831086034,-3.64260522525,253.0,249.0,262.0,279.0,271.0,11.0,12.0,8.0,9.0,9.0,9.0,1.0,1.0,4.0,9.0
19,Asunción Rincón,CHAMBERI,40.4399159612,-3.71096772599,302.0,299.0,287.0,280.0,277.0,6.0,10.0,6.0,12.0,6.0,9.0,6.0,13.0,3.0,6.0
20,Ausias March,VILLAVERDE,40.3443934612,-3.67474671423,71.0,139.0,228.0,305.0,391.0,,,5.0,5.0,5.0,7.0,0.0,8.0,2.0,14.0
21,Azorín,VILLAVERDE,40.3429068882,-3.68700051544,155.0,148.0,158.0,151.0,143.0,1.0,4.0,8.0,10.0,2.0,4.0,2.0,5.0,1.0,2.0
22,Barcelona,VILLAVERDE,40.358410237,-3.696273094,281.0,255.0,287.0,285.0,311.0,8.0,8.0,7.0,7.0,10.0,11.0,6.0,15.0,0.0,7.0
23,Blas de Lezo,FUENCARRAL-EL PARDO,40.509734261,-3.6704522713,,,,,,,,,,,,,,,
24,Blas de Otero,VILLA DE VALLECAS,40.3812477378,-3.61196925642,341.0,325.0,336.0,353.0,364.0,2.0,7.0,3.0,8.0,5.0,5.0,4.0,5.0,4.0,7.0
25,Bolivia,LATINA,40.4076340722,-3.74987314286,137.0,128.0,117.0,133.0,133.0,2.0,3.0,3.0,3.0,8.0,8.0,0.0,0.0,7.0,9.0
26,Bravo Murillo,FUENCARRAL-EL PARDO,40.4805389015,-3.71801486152,127.0,96.0,108.0,113.0,132.0,2.0,2.0,4.0,4.0,12.0,12.0,8.0,8.0,12.0,12.0
27,Breogán,FUENCARRAL-EL PARDO,40.4754095229,-3.70242329481,291.0,284.0,296.0,280.0,281.0,13.0,18.0,9.0,13.0,16.0,27.0,6.0,8.0,3.0,10.0
28,Calderón de la Barca,BARAJAS,40.470708109,-3.58402092685,264.0,263.0,267.0,284.0,293.0,1.0,1.0,10.0,10.0,11.0,14.0,7.0,12.0,5.0,8.0
29,Camilo José Cela,FUENCARRAL-EL PARDO,40.4775644016,-3.70065251973,258.0,258.0,279.0,278.0,291.0,14.0,15.0,6.0,10.0,5.0,6.0,6.0,10.0,6.0,10.0
30,Capitán Cortés,CARABANCHEL,40.3809134774,-3.74285000113,294.0,298.0,306.0,307.0,289.0,10.0,11.0,2.0,13.0,6.0,14.0,3.0,16.0,3.0,26.0
31,Cardenal Herrera Oria,FUENCARRAL-EL PARDO,40.4826088139,-3.7110758224,444.0,427.0,432.0,432.0,425.0,31.0,36.0,21.0,26.0,15.0,26.0,1.0,11.0,3.0,11.0
32,Carlos Sáinz de los Terreros,PUENTE DE VALLECAS,40.3848131304,-3.6390280932,270.0,277.0,269.0,268.0,268.0,7.0,10.0,13.0,13.0,11.0,13.0,3.0,3.0,4.0,6.0
33,Carlos V,CIUDAD LINEAL,40.4372409871,-3.65440389423,227.0,214.0,236.0,241.0,254.0,10.0,10.0,5.0,5.0,6.0,6.0,1.0,1.0,9.0,9.0
34,Carmen Cabezuelo,SAN BLAS-CANILLEJAS,40.4301126077,-3.62883450607,127.0,138.0,157.0,154.0,149.0,5.0,8.0,8.0,8.0,12.0,12.0,3.0,9.0,0.0,1.0
35,Carmen Laforet,VICALVARO,40.4006763197,-3.5989822135,0.0,83.0,207.0,301.0,393.0,,,2.0,2.0,2.0,7.0,0.0,8.0,0.0,13.0
36,Cervantes,CHAMBERI,40.4466126402,-3.70311394849,129.0,141.0,143.0,152.0,146.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,6.0,7.0,7.0
37,Ciudad Pegaso,SAN BLAS-CANILLEJAS,40.447240094,-3.59802748849,300.0,291.0,295.0,298.0,296.0,0.0,10.0,4.0,6.0,1.0,9.0,1.0,4.0,1.0,5.0
38,Ciudad de Badajoz,LATINA,40.383982611,-3.77889889809,112.0,109.0,127.0,133.0,140.0,1.0,1.0,6.0,6.0,2.0,2.0,0.0,2.0,,
39,Ciudad de Córdoba,VILLAVERDE,40.3625193482,-3.69761089632,265.0,283.0,268.0,270.0,271.0,9.0,12.0,8.0,10.0,3.0,5.0,5.0,7.0,0.0,8.0
40,Ciudad de Guadalajara,BARAJAS,40.4589474631,-3.58479185547,320.0,329.0,337.0,362.0,345.0,3.0,15.0,6.0,15.0,5.0,13.0,5.0,30.0,0.0,13.0
41,Ciudad de Jaén,USERA,40.3725784823,-3.70126017556,441.0,430.0,427.0,431.0,416.0,6.0,13.0,12.0,15.0,11.0,17.0,5.0,14.0,3.0,14.0
