CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28065711;CIMPR SEC;FEDERICO MORENO TORROBA;Calle Del General Ricardos, 177 ;Madrid;Carabanchel;28025;914698614;915650151;-;Público;-;
Madrid-Capital;28066065;CREI;SAGRADO CORAZON DE JESUS;Carretera De Colmenar Viejo , Km. 13,500 ;Madrid;Fuencarral-El Pardo;28049;914650640;914611395;-;Público;-;
Madrid-Capital;28033539;IES;ALAMEDA DE OSUNA;Calle De Antonio Sancha, 11 ;Madrid;Barajas;28042;912761560;913291525;-;Público;Activid. .Extraesc.;
Madrid-Capital;28076368;IES;ALFREDO KRAUS;Avenida De Guadalajara, 126 ;Madrid;San Blas-Canillejas;28022;912760100;917031659;-;Público;-;
Madrid-Capital;28037031;IES;ANTONIO DOMINGUEZ ORTIZ;Calle De Los Andaluces, 36 ;Madrid;Puente de Vallecas;28038;913033235;913808187;-;Público;Activid. .Extraesc.;
Madrid-Capital;28018460;IES;ARCIPRESTE DE HITA;Ronda Sur, 6 ;Madrid;Puente de Vallecas;28053;917858510;915073457;-;Público;Activid. .Extraesc.;
Madrid-Capital;28030575;IES;ARTURO SORIA;Calle De Somontín, 59 ;Madrid;Hortaleza;28033;913028445;917668081;-;Público;Activid. .Extraesc.;
Madrid-Capital;28028428;IES;AVENIDA DE LOS TOREROS;Avenida De Los Toreros, 57 ;Madrid;Salamanca;28028;913552326;913561205;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28030991;IES;BARRIO DE BILBAO;Calle De Villaescusa, S/n ;Madrid;Ciudad Lineal;28017;913041018;917542920;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020201;IES;BARRIO SIMANCAS;Calle De Zaratán, 6 ;Madrid;San Blas-Canillejas;28037;913041570;917545083;Transt. Desarrollo;Público;Activid. .Extraesc.;
Madrid-Capital;28020892;IES;BEATRIZ GALINDO;Calle De Goya, 10 ;Madrid;Salamanca;28001;915764706;915760637;-;Público;Activid. .Extraesc.;
Madrid-Capital;28030927;IES;BLAS DE OTERO;Calle De Maqueda, 130 ;Madrid;Latina;28024;917191511;917176845;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28020961;IES;CALDERON DE LA BARCA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;915608300;915650795;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020934;IES;CARDENAL CISNEROS;Calle De Los Reyes, 4 ;Madrid;Centro;28015;915224869;915216372;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020855;IES;CARDENAL HERRERA ORIA;Calle De Fermín Caballero, 68 ;Madrid;Fuencarral-El Pardo;28034;913781940;917385794;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28020557;IES;CARLOS III;Calle De Arcos De Jalón, 116 ;Madrid;San Blas-Canillejas;28037;913064069;913135164;-;Público;Activid. .Extraesc.;
Madrid-Capital;28018484;IES;CARLOS MARIA RODRIGUEZ DE VALCARCEL;Plaza Del Encuentro, 4 ;Madrid;Moratalaz;28030;914393570;914393014;-;Público;Activid. .Extraesc.;
Madrid-Capital;28030174;IES;CELESTINO MUTIS;Calle De Huerta De Villaverde, 15 ;Madrid;Villaverde;28021;917954006;915053829;-;Público;Activid. .Extraesc.;
Madrid-Capital;28004059;IES;CERVANTES;Calle De Embajadores, 70 ;Madrid;Centro;28012;915285061;915276281;-;Público;-;
Madrid-Capital;28032481;IES;CIUDAD DE JAEN;Camino Del Río, 5 ;Madrid;Usera;28041;913173000;913171528;Motóricos;Público;Transporte,Activid. .Extraesc.;
