Colegio,Barrio,Distrito,Latitud,Longitud,Plazas_2012-2013,Plazas_2013-2014,Plazas_2014-2015,Plazas_2015-2016,Plazas_2016-2017,Admisiones_2012-2013,Solicitudes_2012-2013,Admisiones_2013-2014,Solicitudes_2013-2014,Admisiones_2014-2015,Solicitudes_2014-2015,Admisiones_2015-2016,Solicitudes_2015-2016,Admisiones_2016-2017,Solicitudes_2016-2017,Pob_x_Barrio_2012-2013,Pob_x_Barrio_2013-2014,Pob_x_Barrio_2014-2015,Pob_x_Barrio_2015-2016,Pob_x_Barrio_2016-2017,Pob_x_Barrio_2017-2018
Adolfo Suárez,VALDEFUENTES,HORTALEZA,40.4886026666,-3.65255442433,510.0,540.0,535.0,532.0,594.0,14.0,20.0,11.0,25.0,7.0,25.0,9.0,20.0,11.0,18.0,3861.0,4140.0,4400.0,4746.0,5271.0,5661.0
Cortes de Cádiz,VALDEFUENTES,HORTALEZA,40.4989343286,-3.65601790796,0.0,0.0,101.0,205.0,310.0,,,,,5.0,5.0,3.0,16.0,2.0,33.0,3861.0,4140.0,4400.0,4746.0,5271.0,5661.0
Juan Zaragüeta,VALDEFUENTES,HORTALEZA,40.472109787,-3.63100740247,280.0,285.0,287.0,296.0,298.0,7.0,10.0,3.0,5.0,9.0,12.0,0.0,9.0,0.0,4.0,3861.0,4140.0,4400.0,4746.0,5271.0,5661.0
Virgen del Cortijo,VALDEFUENTES,HORTALEZA,40.4872539628,-3.66002211857,223.0,232.0,240.0,245.0,282.0,7.0,8.0,5.0,5.0,4.0,4.0,13.0,13.0,9.0,13.0,3861.0,4140.0,4400.0,4746.0,5271.0,5661.0
Alfredo di Stefano,VALDEFUENTES,HORTALEZA,40.4958035,-3.6185524,,,,,,,,,,,,,,,,3861.0,4140.0,4400.0,4746.0,5271.0,5661.0
Agustina Díez,PORTAZGO,PUENTE DE VALLECAS,40.3881909372,-3.64723672492,276.0,256.0,265.0,255.0,234.0,8.0,12.0,3.0,3.0,6.0,6.0,3.0,3.0,3.0,3.0,1375.0,1415.0,1488.0,1516.0,1507.0,1470.0
Mesonero Romanos,PORTAZGO,PUENTE DE VALLECAS,40.3936844307,-3.64437893119,279.0,276.0,270.0,279.0,284.0,5.0,13.0,5.0,8.0,6.0,9.0,2.0,5.0,3.0,5.0,1375.0,1415.0,1488.0,1516.0,1507.0,1470.0
San Pablo,PORTAZGO,PUENTE DE VALLECAS,40.3893997727,-3.65176088282,133.0,143.0,152.0,152.0,149.0,3.0,11.0,4.0,7.0,12.0,19.0,0.0,11.0,0.0,7.0,1375.0,1415.0,1488.0,1516.0,1507.0,1470.0
Santo Domingo,PORTAZGO,PUENTE DE VALLECAS,40.3920182994,-3.64589479587,294.0,298.0,288.0,301.0,295.0,12.0,15.0,7.0,18.0,14.0,22.0,2.0,12.0,5.0,19.0,1375.0,1415.0,1488.0,1516.0,1507.0,1470.0
Virgen del Cerro,PORTAZGO,PUENTE DE VALLECAS,40.3959553318,-3.64910213702,335.0,314.0,298.0,301.0,288.0,3.0,3.0,12.0,15.0,5.0,15.0,0.0,3.0,4.0,11.0,1375.0,1415.0,1488.0,1516.0,1507.0,1470.0
Agustín Rodriguez Sahagún,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3680399849,-3.62216774288,449.0,551.0,576.0,572.0,541.0,9.0,32.0,5.0,23.0,10.0,33.0,1.0,33.0,0.0,51.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
El Quijote,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3749051125,-3.62380936129,332.0,329.0,327.0,334.0,326.0,0.0,44.0,0.0,29.0,7.0,29.0,0.0,33.0,0.0,31.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
Francisco Fatóu,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3759790329,-3.6184358604,313.0,328.0,305.0,306.0,316.0,4.0,9.0,3.0,15.0,4.0,12.0,0.0,7.0,1.0,8.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
Honduras,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3777503195,-3.62077275314,272.0,291.0,292.0,310.0,326.0,6.0,11.0,7.0,17.0,7.0,15.0,9.0,10.0,0.0,4.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
José de Echegaray,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3682611545,-3.61450194937,0.0,0.0,0.0,81.0,157.0,,,,,,,0.0,20.0,0.0,19.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
Juan Gris,CASCO H.VALLECAS,VILLA DE VALLECAS,40.372633463,-3.61734513763,369.0,336.0,318.0,314.0,307.0,1.0,4.0,0.0,11.0,2.0,18.0,1.0,9.0,2.0,14.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
Loyola de Palacio,CASCO H.VALLECAS,VILLA DE VALLECAS,40.3606425012,-3.59845108712,306.0,333.0,400.0,434.0,485.0,8.0,12.0,4.0,18.0,14.0,19.0,0.0,11.0,7.0,15.0,4656.0,4947.0,5295.0,5566.0,6055.0,6485.0
Alberto Alcocer,HELLIN,SAN BLAS-CANILLEJAS,40.4333378228,-3.6120521749,367.0,358.0,334.0,330.0,309.0,12.0,18.0,5.0,15.0,8.0,12.0,5.0,8.0,3.0,9.0,372.0,379.0,396.0,401.0,416.0,388.0
Ramón María del Valle Inclán,HELLIN,SAN BLAS-CANILLEJAS,40.4298542153,-3.61828069823,120.0,121.0,110.0,109.0,115.0,7.0,7.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,372.0,379.0,396.0,401.0,416.0,388.0
Alcalde de Móstoles,LAS AGUILAS,LATINA,40.3798369029,-3.77644792993,128.0,123.0,137.0,138.0,141.0,6.0,6.0,7.0,7.0,3.0,4.0,2.0,4.0,1.0,4.0,2437.0,2438.0,2485.0,2466.0,2439.0,2387.0
Ciudad de Badajoz,LAS AGUILAS,LATINA,40.383982611,-3.77889889809,112.0,109.0,127.0,133.0,140.0,1.0,1.0,6.0,6.0,2.0,2.0,0.0,2.0,,,2437.0,2438.0,2485.0,2466.0,2439.0,2387.0
Francisco Arranz,LAS AGUILAS,LATINA,40.3749289516,-3.76260941478,283.0,286.0,298.0,302.0,307.0,2.0,6.0,6.0,22.0,2.0,17.0,3.0,22.0,1.0,31.0,2437.0,2438.0,2485.0,2466.0,2439.0,2387.0
Jovellanos,LAS AGUILAS,LATINA,40.3792700965,-3.78301487902,226.0,215.0,231.0,246.0,245.0,4.0,4.0,7.0,7.0,4.0,5.0,2.0,3.0,5.0,5.0,2437.0,2438.0,2485.0,2466.0,2439.0,2387.0
Manuel Bartolomé Cossío,LAS AGUILAS,LATINA,40.381354986,-3.77172949655,293.0,295.0,296.0,293.0,295.0,2.0,13.0,2.0,13.0,0.0,12.0,2.0,11.0,1.0,16.0,2437.0,2438.0,2485.0,2466.0,2439.0,2387.0
Alfonso X El Sabio,CASCO H.VICALVARO,VICALVARO,40.4032013845,-3.6036948781,290.0,279.0,261.0,272.0,251.0,11.0,14.0,6.0,6.0,5.0,7.0,4.0,4.0,4.0,8.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Carmen Laforet,CASCO H.VICALVARO,VICALVARO,40.4006763197,-3.5989822135,0.0,83.0,207.0,301.0,393.0,,,2.0,2.0,2.0,7.0,0.0,8.0,0.0,13.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Los Almendros,CASCO H.VICALVARO,VICALVARO,40.3962911422,-3.62577420388,285.0,260.0,265.0,271.0,257.0,6.0,6.0,1.0,5.0,5.0,6.0,1.0,2.0,1.0,3.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Pedro Duque,CASCO H.VICALVARO,VICALVARO,40.3972184516,-3.60730613197,481.0,500.0,508.0,503.0,504.0,1.0,10.0,7.0,24.0,3.0,13.0,0.0,14.0,0.0,11.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Valdebernardo,CASCO H.VICALVARO,VICALVARO,40.4034059567,-3.61783830192,447.0,466.0,470.0,473.0,479.0,8.0,12.0,5.0,11.0,6.0,14.0,10.0,22.0,5.0,18.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Winston Churchill,CASCO H.VICALVARO,VICALVARO,40.4029655567,-3.59531392733,393.0,484.0,521.0,537.0,533.0,7.0,18.0,6.0,13.0,3.0,12.0,1.0,10.0,3.0,15.0,4385.0,4598.0,4834.0,5005.0,4910.0,4888.0
Alhambra,PEÑA GRANDE,FUENCARRAL-EL PARDO,40.4834934873,-3.72671832796,233.0,248.0,260.0,271.0,260.0,3.0,4.0,13.0,13.0,7.0,7.0,6.0,11.0,4.0,5.0,2089.0,2143.0,2183.0,2236.0,2187.0,2212.0
Bravo Murillo,PEÑA GRANDE,FUENCARRAL-EL PARDO,40.4805389015,-3.71801486152,127.0,96.0,108.0,113.0,132.0,2.0,2.0,4.0,4.0,12.0,12.0,8.0,8.0,12.0,12.0,2089.0,2143.0,2183.0,2236.0,2187.0,2212.0
Amadeo Vives,ALUCHE,LATINA,40.3974359377,-3.75539252914,280.0,265.0,266.0,269.0,268.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,7.0,8.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
Costa Rica,ALUCHE,LATINA,40.3855040335,-3.75598966441,211.0,193.0,190.0,186.0,193.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
Cuba,ALUCHE,LATINA,40.3950901436,-3.76141107126,191.0,168.0,156.0,130.0,118.0,4.0,5.0,9.0,9.0,2.0,3.0,0.0,1.0,2.0,2.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
Hernán Cortés,ALUCHE,LATINA,40.3911834075,-3.7512812696,286.0,284.0,284.0,296.0,299.0,7.0,16.0,5.0,13.0,9.0,15.0,3.0,11.0,0.0,10.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
La Latina,ALUCHE,LATINA,40.3888878676,-3.76202457611,260.0,280.0,278.0,288.0,299.0,2.0,4.0,8.0,16.0,8.0,14.0,12.0,13.0,3.0,10.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
Parque Aluche,ALUCHE,LATINA,40.3908315783,-3.76099785058,246.0,224.0,223.0,220.0,256.0,3.0,3.0,5.0,5.0,5.0,6.0,2.0,2.0,3.0,5.0,2752.0,2758.0,2833.0,2798.0,2857.0,2856.0
Amador de los Ríos,FUENTE DEL BERRO,SALAMANCA,40.4262796292,-3.66655782639,195.0,186.0,186.0,191.0,208.0,10.0,10.0,15.0,16.0,6.0,8.0,7.0,8.0,3.0,4.0,876.0,873.0,882.0,885.0,878.0,886.0
Amós Acero,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.3902233323,-3.66377503466,140.0,144.0,142.0,150.0,145.0,19.0,24.0,29.0,31.0,21.0,25.0,15.0,21.0,27.0,30.0,2550.0,2433.0,2317.0,2198.0,2120.0,2061.0
Eduardo Rojo,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.3874270668,-3.66280503333,248.0,233.0,230.0,240.0,266.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,17.0,20.0,2550.0,2433.0,2317.0,2198.0,2120.0,2061.0
Javier de Miguel,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.3861797185,-3.65720830761,242.0,248.0,264.0,255.0,247.0,2.0,8.0,2.0,11.0,8.0,21.0,3.0,13.0,0.0,26.0,2550.0,2433.0,2317.0,2198.0,2120.0,2061.0
Madrid Sur,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.3765775542,-3.65534800367,269.0,265.0,267.0,269.0,262.0,0.0,18.0,2.0,36.0,6.0,34.0,0.0,18.0,0.0,27.0,2550.0,2433.0,2317.0,2198.0,2120.0,2061.0
Palomeras Bajas,PALOMERAS BAJAS,PUENTE DE VALLECAS,40.3791948487,-3.66086304264,298.0,300.0,298.0,302.0,299.0,5.0,10.0,3.0,14.0,8.0,22.0,4.0,29.0,1.0,19.0,2550.0,2433.0,2317.0,2198.0,2120.0,2061.0
Antonio Fontan,EL GOLOSO,FUENCARRAL-EL PARDO,40.5115782907,-3.69381806927,0.0,36.0,108.0,184.0,265.0,,,2.0,2.0,12.0,12.0,6.0,9.0,8.0,20.0,1391.0,1558.0,1793.0,2033.0,2193.0,2392.0
Príncipe de Asturias,EL GOLOSO,FUENCARRAL-EL PARDO,40.5415687934,-3.69681982425,296.0,292.0,297.0,293.0,294.0,6.0,16.0,3.0,15.0,6.0,31.0,3.0,34.0,3.0,20.0,1391.0,1558.0,1793.0,2033.0,2193.0,2392.0
Antonio Machado,BUENAVISTA,CARABANCHEL,40.3674254868,-3.75419755204,398.0,399.0,402.0,381.0,374.0,11.0,12.0,6.0,6.0,9.0,12.0,1.0,3.0,5.0,6.0,3151.0,3396.0,3651.0,3794.0,4005.0,4182.0
Maestro Padilla,BUENAVISTA,CARABANCHEL,40.3626409159,-3.74737215976,0.0,43.0,146.0,248.0,353.0,,,3.0,3.0,2.0,7.0,2.0,9.0,6.0,26.0,3151.0,3396.0,3651.0,3794.0,4005.0,4182.0
Pinar de San José,BUENAVISTA,CARABANCHEL,40.3630163806,-3.76435955979,586.0,636.0,614.0,612.0,622.0,8.0,16.0,19.0,22.0,6.0,12.0,7.0,13.0,1.0,4.0,3151.0,3396.0,3651.0,3794.0,4005.0,4182.0
República Dominicana,BUENAVISTA,CARABANCHEL,40.3762854322,-3.75219951661,144.0,141.0,143.0,133.0,142.0,4.0,4.0,4.0,5.0,2.0,4.0,0.0,1.0,0.0,3.0,3151.0,3396.0,3651.0,3794.0,4005.0,4182.0
Antonio Moreno Rosales,EMBAJADORES,CENTRO,40.4114705985,-3.70127479953,106.0,93.0,96.0,91.0,98.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1361.0,1422.0,1503.0,1512.0,1498.0,1462.0
Emilia Pardo Bazán,EMBAJADORES,CENTRO,40.4067780349,-3.70552769637,97.0,97.0,106.0,110.0,129.0,4.0,4.0,5.0,5.0,2.0,6.0,1.0,4.0,5.0,9.0,1361.0,1422.0,1503.0,1512.0,1498.0,1462.0
Santa María,EMBAJADORES,CENTRO,40.406129867,-3.7069233554,120.0,124.0,124.0,125.0,137.0,2.0,2.0,3.0,4.0,8.0,9.0,3.0,3.0,2.0,7.0,1361.0,1422.0,1503.0,1512.0,1498.0,1462.0
Antonio de Nebrija,LOS ROSALES,VILLAVERDE,40.3518668309,-3.68618470745,432.0,404.0,420.0,424.0,437.0,13.0,13.0,5.0,5.0,6.0,10.0,0.0,6.0,6.0,11.0,2387.0,2401.0,2401.0,2426.0,2412.0,2312.0
El Espinillo,LOS ROSALES,VILLAVERDE,40.3615724122,-3.69327885016,462.0,470.0,490.0,489.0,492.0,1.0,14.0,0.0,11.0,1.0,15.0,1.0,17.0,0.0,17.0,2387.0,2401.0,2401.0,2426.0,2412.0,2312.0
