Distrito,Ninos,Plazas,NinosxPlaza
ARGANZUELA,7200.0,3674.0,1.95971692978
BARAJAS,3373.0,1300.0,2.59461538462
CARABANCHEL,14762.0,5360.0,2.75410447761
CENTRO,4199.0,1441.0,2.91394864677
CHAMARTIN,7202.0,1704.0,4.2265258216
CHAMBERI,5520.0,1310.0,4.21374045802
CIUDAD LINEAL,10527.0,2428.0,4.33566721582
FUENCARRAL-EL PARDO,15854.0,5837.0,2.71612129519
HORTALEZA,12093.0,3508.0,3.44726339795
LATINA,11375.0,4711.0,2.41456166419
MONCLOA-ARAVACA,6570.0,1892.0,3.47251585624
MORATALAZ,4509.0,2411.0,1.87017834923
PUENTE DE VALLECAS,12422.0,5370.0,2.31322160149
RETIRO,5499.0,1512.0,3.6369047619
SALAMANCA,5907.0,723.0,8.17012448133
SAN BLAS-CANILLEJAS,10100.0,4267.0,2.36700257792
TETUAN,6747.0,1610.0,4.19068322981
USERA,8644.0,3559.0,2.428772127
VICALVARO,5964.0,2984.0,1.99865951743
VILLA DE VALLECAS,7147.0,3454.0,2.06919513607
VILLAVERDE,9746.0,6565.0,1.48453922315
