"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"TITULARIDAD";"NOMBRE";
"Madrid-Capital";28063799;"CP INF-PRI-SEC";"ADOLFO SUAREZ";"Calle De La Infanta Catalina Micaela, 31 ";"Madrid";"Hortaleza";28050;917502058;917189274;"Público";"ADOLFO SUAREZ";"OK"
"Madrid-Capital";28063751;"CP INF-PRI";"AGUSTIN RODRIGUEZ SAHAGUN";"Calle De La Granja De San Ildefonso, 17-19 ";"Madrid";"Villa de Vallecas";28051;913324348;914941475;"Público";"AGUSTIN RODRIGUEZ SAHAGUN";"OK"
"Madrid-Capital";28004989;"CP INF-PRI";"AGUSTINA DIEZ";"Calle Del Vesubio, 5 ";"Madrid";"Puente de Vallecas";28038;917770073;917773052;"Público";"AGUSTINA DIEZ";"OK"
"Madrid-Capital";28004990;"CP INF-PRI";"ALBERTO ALCOCER";"Avenida Canillejas-vicalvaro, 56 ";"Madrid";"San Blas-Canillejas";28022;913202609;913200446;"Público";"ALBERTO ALCOCER";"OK"
"Madrid-Capital";28018393;"CP INF-PRI";"ALCALDE DE MOSTOLES";"Calle De Aldeanueva De La Vera, 9 ";"Madrid";"Latina";28044;917055465;915095129;"Público";"ALCALDE DE MOSTOLES";"OK"
"Madrid-Capital";28005003;"CP INF-PRI";"ALFONSO X EL SABIO";"Calle De La Fuente De San Pedro, 6 ";"Madrid";"Vicálvaro";28032;913719661;917765962;"Público";"ALFONSO X EL SABIO";"OK"
"Madrid-Capital";28077865;"CP INF-PRI";"ALFREDO DI STEFANO";"Calle De Félix Candela, 4 ";"Madrid";"Hortaleza";28055;660906527;"-";"Público";;"Colegio no incluido en BBDD de Ayuntamiento"
"Madrid-Capital";28038318;"CP INF-PRI";"ALHAMBRA";"Calle De Ramón Gómez De La Serna, 103 ";"Madrid";"Fuencarral-El Pardo";28035;913162273;913737021;"Público";"ALHAMBRA";"OK"
"Madrid-Capital";28066302;"CP INF-PRI";"ALVARO DE BAZAN";"Calle De Zurich, 10 ";"Madrid";"San Blas-Canillejas";28022;917757114;913067517;"Público";"ALVARO DE BAZAN";"OK"
"Madrid-Capital";28018401;"CP INF-PRI";"AMADEO VIVES";"Calle De Los Yébenes, 6 ";"Madrid";"Latina";28047;917183389;917199055;"Público";"AMADEO VIVES";"OK"
"Madrid-Capital";28010412;"CP INF-PRI";"AMADOR DE LOS RIOS";"Paseo Del Marqués De Zafra, 16 ";"Madrid";"Salamanca";28028;917252610;917261891;"Público";"AMADOR DE LOS RIOS";"OK"
"Madrid-Capital";28005854;"CP INF-PRI";"AMOS ACERO";"Calle De Rodríguez Espinosa, 54 ";"Madrid";"Puente de Vallecas";28053;914785161;914772415;"Público";"AMOS ACERO";"OK"
"Madrid-Capital";28077877;"CP INF-PRI";"ANGEL NIETO";"Calle De Enrique García Álvarez, S/n ";"Madrid";"Villa de Vallecas";28031;913053429;917517366;"Público";;"Colegio no incluido en BBDD de Ayuntamiento"
"Madrid-Capital";28021215;"CP INF-PRI";"ANTONIO DE NEBRIJA";"Calle De Juan José Martínez Seco, 77 ";"Madrid";"Villaverde";28021;917963500;915051317;"Público";"ANTONIO DE NEBRIJA";"OK"
"Madrid-Capital";28072478;"CP INF-PRI";"ANTONIO FONTAN";"Avenida Santuario De Valverde C/v Monasterio Arlanza, S/n ";"Madrid";"Fuencarral-El Pardo";28049;911722243;911720001;"Público";"ANTONIO FONTAN";"OK"
