"Colegio","Barrio","Distrito","Latitud","Longitud","Plazas_2012.2013","Plazas_2013.2014","Plazas_2014.2015","Plazas_2015.2016","Plazas_2016.2017","Admisiones_2012.2013","Solicitudes_2012.2013","Admisiones_2013.2014","Solicitudes_2013.2014","Admisiones_2014.2015","Solicitudes_2014.2015","Admisiones_2015.2016","Solicitudes_2015.2016","Admisiones_2016.2017","Solicitudes_2016.2017","PobxBarrio_2012.2013","PobxBarrio_2013.2014","PobxBarrio_2014.2015","PobxBarrio_2015.2016","PobxBarrio_2016.2017","PobxBarrio_2017.2018","Admisiones_2017.2018","Solicitudes_2017.2018"
"Adolfo Suárez","VALDEFUENTES","Hortaleza",40.4886026666,-3.65255442433,510,540,535,532,594,14,20,11,25,7,25,9,20,11,18,3861,4140,4400,4746,5271,5661,7.58876741477549,20.5775350727333
"Agustina Díez","PORTAZGO","Puente de Vallecas",40.3881909372,-3.64723672492,276,256,265,255,234,8,12,3,3,6,6,3,3,3,3,1375,1415,1488,1516,1507,1470,2.75880395190747,3.56764434869647
"Agustín Rodriguez Sahagún","CASCO H.VALLECAS","Villa de Vallecas",40.3680399849,-3.62216774288,449,551,576,572,541,9,32,5,23,10,33,1,33,0,51,4656,4947,5295,5566,6055,6485,0.406580425004367,37.6318066805428
"Alberto Alcocer","HELLIN","San Blas - Canillejas",40.4333378228,-3.6120521749,367,358,334,330,309,12,18,5,15,8,12,5,8,3,9,372,379,396,401,416,388,3.43977185978408,9.85099430885177
"Alcalde de Móstoles","LAS AGUILAS","Latina",40.3798369029,-3.77644792993,128,123,137,138,141,6,6,7,7,3,4,2,4,1,4,2437,2438,2485,2466,2439,2387,1.13421310650528,4.28868529147389
"Alfonso X El Sabio","CASCO H.VICALVARO","Vicálvaro",40.4032013845,-3.6036948781,290,279,261,272,251,11,14,6,6,5,7,4,4,4,8,4385,4598,4834,5005,4910,4888,3.20987694528805,6.28146078459869
"Alfredo di Stefano","VALDEFUENTES","Hortaleza",40.4958035,-3.6185524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3861,4140,4400,4746,5271,5661,NA,NA
"Alhambra","PEÑA GRANDE","Fuencarral - El Pardo",40.4834934873,-3.72671832796,233,248,260,271,260,3,4,13,13,7,7,6,11,4,5,2089,2143,2183,2236,2187,2212,4.42182908517999,7.5545081180084
"Álvaro de Bazan","ROSAS","San Blas - Canillejas",40.4215433105,-3.60724192162,394,464,518,518,496,11,14,4,14,6,11,4,20,6,16,3455,3333,3152,2908,2641,2355,3.60562684169913,15.6382376703001
"Amadeo Vives","ALUCHE","Latina",40.3974359377,-3.75539252914,280,265,266,269,268,3,3,2,2,3,5,3,5,7,8,2752,2758,2833,2798,2857,2856,3.09299816451435,5.53704307820754
"Amador de los Ríos","FUENTE DEL BERRO","Salamanca",40.4262796292,-3.66655782639,195,186,186,191,208,10,10,15,16,6,8,7,8,3,4,876,873,882,885,878,886,4.10615868469054,6.75834760556069
"Amós Acero","PALOMERAS BAJAS","Puente de Vallecas",40.3902233323,-3.66377503466,140,144,142,150,145,19,24,29,31,21,25,15,21,27,30,2550,2433,2317,2198,2120,2061,17.9914249821424,26.0897325740782
"Ángel Nieto","SANTA EUGENIA","Villa de Vallecas",40.3815111,-3.6146222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,1150,1132,1113,1092,1060,NA,NA
"Antonio de Nebrija","LOS ROSALES","Villaverde",40.3518668309,-3.68618470745,432,404,420,424,437,13,13,5,5,6,10,0,6,6,11,2387,2401,2401,2426,2412,2312,1.93857713564801,8.40605560358727
"Antonio Fontan","EL GOLOSO","Fuencarral - El Pardo",40.5115782907,-3.69381806927,0,36,108,184,265,NA,NA,2,2,12,12,6,9,8,20,1391,1558,1793,2033,2193,2392,NA,NA
"Antonio Machado","BUENAVISTA","Carabanchel",40.3674254868,-3.75419755204,398,399,402,381,374,11,12,6,6,9,12,1,3,5,6,3151,3396,3651,3794,4005,4182,2.9193765233015,5.85231297145134
"Antonio Moreno Rosales","EMBAJADORES","Centro",40.4114705985,-3.70127479953,106,93,96,91,98,1,1,1,1,3,3,1,1,1,1,1361,1422,1503,1512,1498,1462,0.798462050240698,1.32269902974487
"Aragón","PALOMERAS SURESTE","Puente de Vallecas",40.3924439301,-3.63737994091,125,117,112,110,111,NA,NA,1,1,7,7,0,0,5,5,2240,2253,2269,2300,2280,2248,NA,NA
"Aravaca","ARAVACA","Moncloa - Aravaca",40.4605761984,-3.78570374621,107,107,107,107,107,6,7,6,6,6,6,5,5,2,2,2309,2296,2236,2184,2116,2074,2.94854564386386,3.89237866542348
"Arcipreste de Hita","ABRANTES","Carabanchel",40.3848159912,-3.72557425211,140,142,138,139,145,1,9,2,4,4,9,5,7,3,9,1771,1860,1954,2071,2173,2117,2.98740426131387,7.72223712815159
"Arquitecto Gaudí","NUEVA ESPAÑA","Chamartín",40.465418281,-3.66906777282,220,209,202,210,213,15,15,9,9,6,6,17,17,19,22,1320,1329,1393,1454,1479,1595,11.1232638407782,14.4793245619861
"Asturias","PALOMERAS SURESTE","Puente de Vallecas",40.3831086034,-3.64260522525,253,249,262,279,271,11,12,8,9,9,9,1,1,4,9,2240,2253,2269,2300,2280,2248,2.65595907686465,5.5369619624966
"Asunción Rincón","VALLEHERMOSO","Chamberí",40.4399159612,-3.71096772599,302,299,287,280,277,6,10,6,12,6,9,6,13,3,6,896,864,870,835,864,880,3.52801226326176,8.94138632282496
"Ausias March","BUTARQUE","Villaverde",40.3443934612,-3.67474671423,71,139,228,305,391,NA,NA,5,5,5,7,0,8,2,14,1278,1473,1653,1808,1936,2072,NA,NA
"Azorín","SAN CRISTOBAL","Villaverde",40.3429068882,-3.68700051544,155,148,158,151,143,1,4,8,10,2,4,2,5,1,2,1001,1049,1104,1111,1100,1125,1.35123800145057,3.77769680127744
"Barcelona","LOS ANGELES","Villaverde",40.358410237,-3.696273094,281,255,287,285,311,8,8,7,7,10,11,6,15,0,7,1423,1429,1448,1487,1498,1491,1.57885665464611,9.6904384949457
"Blas de Lezo","VALVERDE","Fuencarral - El Pardo",40.509734261,-3.6704522713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3919,4312,4790,5169,5600,6012,NA,NA
"Blas de Otero","SANTA EUGENIA","Villa de Vallecas",40.3812477378,-3.61196925642,341,325,336,353,364,2,7,3,8,5,5,4,5,4,7,1193,1150,1132,1113,1092,1060,3.44004590728933,6.04014805838507
"Bolivia","LUCERO","Latina",40.4076340722,-3.74987314286,137,128,117,133,133,2,3,3,3,8,8,0,0,7,9,1842,1849,1826,1841,1764,1730,2.66185603528542,3.95494176214376
"Bravo Murillo","PEÑA GRANDE","Fuencarral - El Pardo",40.4805389015,-3.71801486152,127,96,108,113,132,2,2,4,4,12,12,8,8,12,12,2089,2143,2183,2236,2187,2212,7.82789751801132,9.39941772036901
"Breogán","LA PAZ","Fuencarral - El Pardo",40.4754095229,-3.70242329481,291,284,296,280,281,13,18,9,13,16,27,6,8,3,10,1258,1226,1231,1245,1246,1324,4.43947841850884,11.9905408212132
"Calderón de la Barca","TIMON","Barajas",40.470708109,-3.58402092685,264,263,267,284,293,1,1,10,10,11,14,7,12,5,8,673,681,701,739,773,841,5.22567415177803,10.169361439369
"Camilo José Cela","LA PAZ","Fuencarral - El Pardo",40.4775644016,-3.70065251973,258,258,279,278,291,14,15,6,10,5,6,6,10,6,10,1258,1226,1231,1245,1246,1324,4.35193340510364,9.11606992249403
"Capitán Cortés","PUERTA BONITA","Carabanchel",40.3809134774,-3.74285000113,294,298,306,307,289,10,11,2,13,6,14,3,16,3,26,1864,1928,1995,1976,2000,1942,1.90977615128467,18.3693842435009
"Cardenal Herrera Oria","EL PILAR","Fuencarral - El Pardo",40.4826088139,-3.7110758224,444,427,432,432,425,31,36,21,26,15,26,1,11,3,11,1666,1662,1716,1735,1805,1819,2.69382300867689,14.6809470163772
"Carlos Sáinz de los Terreros","PALOMERAS SURESTE","Puente de Vallecas",40.3848131304,-3.6390280932,270,277,269,268,268,7,10,13,13,11,13,3,3,4,6,2240,2253,2269,2300,2280,2248,4.10664445923987,6.49580615660758
"Carlos V","SAN PASCUAL","Ciudad Lineal",40.4372409871,-3.65440389423,227,214,236,241,254,10,10,5,5,6,6,1,1,9,9,857,850,866,841,886,866,3.61989429211986,4.72568166474815
"Carmen Cabezuelo","SIMANCAS","San Blas - Canillejas",40.4301126077,-3.62883450607,127,138,157,154,149,5,8,8,8,12,12,3,9,0,1,1476,1561,1642,1692,1728,1751,1.68153659244408,4.90387062652762
"Carmen Laforet","CASCO H.VICALVARO","Vicálvaro",40.4006763197,-3.5989822135,0,83,207,301,393,NA,NA,2,2,2,7,0,8,0,13,4385,4598,4834,5005,4910,4888,NA,NA
"Cervantes","RIOS ROSAS","Chamberí",40.4466126402,-3.70311394849,129,141,143,152,146,6,6,9,9,9,9,6,6,7,7,1040,1068,1127,1112,1154,1139,5.77012306405588,7.23162986766818
"Ciudad de Badajoz","LAS AGUILAS","Latina",40.383982611,-3.77889889809,112,109,127,133,140,1,1,6,6,2,2,0,2,NA,NA,2437,2438,2485,2466,2439,2387,NA,NA
"Ciudad de Córdoba","LOS ANGELES","Villaverde",40.3625193482,-3.69761089632,265,283,268,270,271,9,12,8,10,3,5,5,7,0,8,1423,1429,1448,1487,1498,1491,1.04167363980045,7.24596634185146
"Ciudad de Guadalajara","ALAMEDA DE OSUNA","Barajas",40.4589474631,-3.58479185547,320,329,337,362,345,3,15,6,15,5,13,5,30,0,13,1296,1321,1332,1333,1374,1326,1.25377824630805,17.0175153516028
"Ciudad de Jaén","ORCASUR","Usera",40.3725784823,-3.70126017556,441,430,427,431,416,6,13,12,15,11,17,5,14,3,14,915,903,886,896,857,831,3.78473983069197,14.6526833145857
"Ciudad de los Ángeles","LOS ANGELES","Villaverde",40.3556455956,-3.69607978656,616,621,601,599,596,12,23,7,23,10,23,10,25,2,15,1423,1429,1448,1487,1498,1491,3.89850427040233,20.0268581824746
"Ciudad de Roma","ESTRELLA","Retiro",40.4158639493,-3.66520562619,354,328,361,358,359,7,11,4,6,0,5,3,11,0,12,1123,1109,1154,1170,1172,1158,0.0803773674942736,9.22416521544147
"Ciudad de Valencia","SANTA EUGENIA","Villa de Vallecas",40.3852605362,-3.60440650397,630,644,657,624,632,8,21,3,10,12,17,7,9,6,12,1193,1150,1132,1113,1092,1060,5.86495982032739,11.7284047711254
"Ciudad de Zaragoza","ALAMEDA DE OSUNA","Barajas",40.4603021513,-3.59121986967,640,644,657,646,638,13,26,11,13,13,25,8,20,6,27,1296,1321,1332,1333,1374,1326,5.84224059771682,22.5626052820456
"Ciudad Pegaso","REJAS","San Blas - Canillejas",40.447240094,-3.59802748849,300,291,295,298,296,0,10,4,6,1,9,1,4,1,5,869,978,1113,1225,1303,1371,0.892900820080835,5.48117889618867
"Claudio Moyano","VALLEHERMOSO","Chamberí",40.4389650923,-3.70883535886,131,129,146,140,146,7,7,5,6,7,7,0,1,1,1,896,864,870,835,864,880,0.984943073646898,2.20933206963429
"Complejo Escolar Príncipe Felipe","LA PAZ","Fuencarral - El Pardo",40.4802198707,-3.7010104733,188,201,206,204,198,8,12,3,14,18,50,8,48,24,42,1258,1226,1231,1245,1246,1324,10.7915567727863,39.773001702545
"Concepción Arenal","COMILLAS","Carabanchel",40.3975884,-3.7149922,278,279,294,303,296,22,23,11,11,11,11,8,10,6,10,898,893,922,936,933,928,5.98001279181879,10.41732732294
"Concha Espina","PALOMERAS SURESTE","Puente de Vallecas",40.3857768278,-3.64395011918,179,169,153,143,153,0,1,2,2,3,3,2,5,2,2,2240,2253,2269,2300,2280,2248,1.56801748660149,2.91036692681146
