Colegio,Distrito,Latitud,Longitud,Admisiones_p,Color
Adolfo Suárez,Hortaleza,40.4886026666,-3.65255442433,61.1,#c18c5d
Cortes de Cádiz,Hortaleza,40.4989343286,-3.65601790796,6.1,#ecc8af
Juan Zaragüeta,Hortaleza,40.472109787,-3.63100740247,0.0,#f18477
Virgen del Cortijo,Hortaleza,40.4872539628,-3.66002211857,69.2,#c18c5d
Alfredo di Stefano,Hortaleza,40.4958035,-3.6185524,-1.0,#000000
Agustina Díez,Puente de Vallecas,40.3881909372,-3.64723672492,100.0,#495867
Mesonero Romanos,Puente de Vallecas,40.3936844307,-3.64437893119,60.0,#c18c5d
San Pablo,Puente de Vallecas,40.3893997727,-3.65176088282,0.0,#f18477
Santo Domingo,Puente de Vallecas,40.3920182994,-3.64589479587,26.3,#e7ad99
Virgen del Cerro,Puente de Vallecas,40.3959553318,-3.64910213702,36.4,#e7ad99
Agustín Rodriguez Sahagún,Villa de Vallecas,40.3680399849,-3.62216774288,0.0,#f18477
El Quijote,Villa de Vallecas,40.3749051125,-3.62380936129,0.0,#f18477
Francisco Fatóu,Villa de Vallecas,40.3759790329,-3.6184358604,12.5,#ecc8af
Honduras,Villa de Vallecas,40.3777503195,-3.62077275314,0.0,#f18477
José de Echegaray,Villa de Vallecas,40.3682611545,-3.61450194937,0.0,#f18477
Juan Gris,Villa de Vallecas,40.372633463,-3.61734513763,14.3,#ecc8af
Loyola de Palacio,Villa de Vallecas,40.3606425012,-3.59845108712,46.7,#e7ad99
Alberto Alcocer,San Blas - Canillejas,40.4333378228,-3.6120521749,33.3,#e7ad99
Ramón María del Valle Inclán,San Blas - Canillejas,40.4298542153,-3.61828069823,100.0,#495867
Alcalde de Móstoles,Latina,40.3798369029,-3.77644792993,25.0,#ecc8af
Ciudad de Badajoz,Latina,40.383982611,-3.77889889809,-1.0,#000000
Francisco Arranz,Latina,40.3749289516,-3.76260941478,3.2,#ecc8af
Jovellanos,Latina,40.3792700965,-3.78301487902,100.0,#495867
Manuel Bartolomé Cossío,Latina,40.381354986,-3.77172949655,6.2,#ecc8af
Alfonso X El Sabio,Vicálvaro,40.4032013845,-3.6036948781,50.0,#e7ad99
Carmen Laforet,Vicálvaro,40.4006763197,-3.5989822135,0.0,#f18477
Los Almendros,Vicálvaro,40.3962911422,-3.62577420388,33.3,#e7ad99
Pedro Duque,Vicálvaro,40.3972184516,-3.60730613197,0.0,#f18477
Valdebernardo,Vicálvaro,40.4034059567,-3.61783830192,27.8,#e7ad99
Winston Churchill,Vicálvaro,40.4029655567,-3.59531392733,20.0,#ecc8af
Alhambra,Fuencarral - El Pardo,40.4834934873,-3.72671832796,80.0,#7b5a3c
Bravo Murillo,Fuencarral - El Pardo,40.4805389015,-3.71801486152,100.0,#495867
Amadeo Vives,Latina,40.3974359377,-3.75539252914,87.5,#7b5a3c
Costa Rica,Latina,40.3855040335,-3.75598966441,100.0,#495867
Cuba,Latina,40.3950901436,-3.76141107126,100.0,#495867
Hernán Cortés,Latina,40.3911834075,-3.7512812696,0.0,#f18477
La Latina,Latina,40.3888878676,-3.76202457611,30.0,#e7ad99
Parque Aluche,Latina,40.3908315783,-3.76099785058,60.0,#c18c5d
Amador de los Ríos,Salamanca,40.4262796292,-3.66655782639,75.0,#c18c5d
Amós Acero,Puente de Vallecas,40.3902233323,-3.66377503466,90.0,#7b5a3c
Eduardo Rojo,Puente de Vallecas,40.3874270668,-3.66280503333,85.0,#7b5a3c
Javier de Miguel,Puente de Vallecas,40.3861797185,-3.65720830761,0.0,#f18477
Madrid Sur,Puente de Vallecas,40.3765775542,-3.65534800367,0.0,#f18477
Palomeras Bajas,Puente de Vallecas,40.3791948487,-3.66086304264,5.3,#ecc8af
Antonio Fontan,Fuencarral - El Pardo,40.5115782907,-3.69381806927,40.0,#e7ad99
Príncipe de Asturias,Fuencarral - El Pardo,40.5415687934,-3.69681982425,15.0,#ecc8af
Antonio Machado,Carabanchel,40.3674254868,-3.75419755204,83.3,#7b5a3c
Maestro Padilla,Carabanchel,40.3626409159,-3.74737215976,23.1,#ecc8af
Pinar de San José,Carabanchel,40.3630163806,-3.76435955979,25.0,#ecc8af
República Dominicana,Carabanchel,40.3762854322,-3.75219951661,0.0,#f18477
Antonio Moreno Rosales,Centro,40.4114705985,-3.70127479953,100.0,#495867
Emilia Pardo Bazán,Centro,40.4067780349,-3.70552769637,55.6,#c18c5d
Santa María,Centro,40.406129867,-3.7069233554,28.6,#e7ad99
Antonio de Nebrija,Villaverde,40.3518668309,-3.68618470745,54.5,#c18c5d
El Espinillo,Villaverde,40.3615724122,-3.69327885016,0.0,#f18477
Juan de la Cierva,Villaverde,40.3544360092,-3.69046192373,0.0,#f18477
Aragón,Puente de Vallecas,40.3924439301,-3.63737994091,100.0,#495867
Asturias,Puente de Vallecas,40.3831086034,-3.64260522525,44.4,#e7ad99
Carlos Sáinz de los Terreros,Puente de Vallecas,40.3848131304,-3.6390280932,66.7,#c18c5d
Concha Espina,Puente de Vallecas,40.3857768278,-3.64395011918,100.0,#495867
Doctor Tolosa Latour,Puente de Vallecas,40.3820038126,-3.64200568094,16.7,#ecc8af
La Rioja,Puente de Vallecas,40.3881486289,-3.63700955081,61.5,#c18c5d
Aravaca,Moncloa - Aravaca,40.4605761984,-3.78570374621,100.0,#495867
Rosa Luxemburgo,Moncloa - Aravaca,40.4500318182,-3.77157115262,55.6,#c18c5d
Arcipreste de Hita,Carabanchel,40.3848159912,-3.72557425211,33.3,#e7ad99
Gonzalo de Berceo,Carabanchel,40.3847122148,-3.72200338627,0.0,#f18477
Julián Besteiro,Carabanchel,40.3805927414,-3.72812068068,0.0,#f18477
San Ignacio de Loyola,Carabanchel,40.3848491071,-3.72172209471,0.0,#f18477
Arquitecto Gaudí,Chamartín,40.465418281,-3.66906777282,86.4,#7b5a3c
Isaac Albéniz,Chamartín,40.4642287544,-3.66912674106,75.0,#c18c5d
San Juan de la Cruz,Chamartín,40.459537376,-3.67954186336,100.0,#495867
Asunción Rincón,Chamberí,40.4399159612,-3.71096772599,50.0,#e7ad99
Claudio Moyano,Chamberí,40.4389650923,-3.70883535886,100.0,#495867
Ausias March,Villaverde,40.3443934612,-3.67474671423,14.3,#ecc8af
El Greco,Villaverde,40.3454822012,-3.67498127964,0.0,#f18477
Los Rosales,Villaverde,40.351753905,-3.67783463445,57.1,#c18c5d
Azorín,Villaverde,40.3429068882,-3.68700051544,50.0,#e7ad99
Navas de Tolosa,Villaverde,40.3443404473,-3.68529600432,66.7,#c18c5d
Ramón Gómez de la Serna,Villaverde,40.3396932754,-3.68958164226,14.3,#ecc8af
Sagunto,Villaverde,40.3411624956,-3.68491063157,47.4,#e7ad99
Barcelona,Villaverde,40.358410237,-3.696273094,0.0,#f18477
Ciudad de Córdoba,Villaverde,40.3625193482,-3.69761089632,0.0,#f18477
Ciudad de los Ángeles,Villaverde,40.3556455956,-3.69607978656,13.3,#ecc8af
República de El Salvador,Villaverde,40.3494991115,-3.69794772807,100.0,#495867
Blas de Lezo,Fuencarral - El Pardo,40.509734261,-3.6704522713,-1.0,#000000
Gabriela Mistral,Fuencarral - El Pardo,40.5077420613,-3.66755252701,6.2,#ecc8af
Josep Tarradellas,Fuencarral - El Pardo,40.509734261,-3.6704522713,5.9,#ecc8af
José Bergamín,Fuencarral - El Pardo,40.4955109998,-3.69604807948,100.0,#495867
Leopoldo Calvo Sotelo,Fuencarral - El Pardo,40.5008331676,-3.67514332164,36.0,#e7ad99
República de Paraguay,Fuencarral - El Pardo,40.4919481614,-3.69526785667,50.0,#e7ad99
Vasco Núñez de Balboa,Fuencarral - El Pardo,40.4993973636,-3.68642288628,-1.0,#000000
Blas de Otero,Villa de Vallecas,40.3812477378,-3.61196925642,57.1,#c18c5d
Ciudad de Valencia,Villa de Vallecas,40.3852605362,-3.60440650397,50.0,#e7ad99
Ángel Nieto,Villa de Vallecas,40.3815111,-3.6146222,-1.0,#000000
Bolivia,Latina,40.4076340722,-3.74987314286,77.8,#7b5a3c
Breogán,Fuencarral - El Pardo,40.4754095229,-3.70242329481,30.0,#e7ad99
Camilo José Cela,Fuencarral - El Pardo,40.4775644016,-3.70065251973,60.0,#c18c5d
Complejo Escolar Príncipe Felipe,Fuencarral - El Pardo,40.4802198707,-3.7010104733,57.1,#c18c5d
Lorenzo Luzuriaga,Fuencarral - El Pardo,40.4866486266,-3.70160832091,14.3,#ecc8af
Rabindranath Tagore,Fuencarral - El Pardo,40.483097533,-3.69590803716,35.3,#e7ad99
Calderón de la Barca,Barajas,40.470708109,-3.58402092685,62.5,#c18c5d
Margaret Thatcher,Barajas,40.4704771976,-3.590459755,100.0,#495867
Capitán Cortés,Carabanchel,40.3809134774,-3.74285000113,11.5,#ecc8af
Isaac Peral,Carabanchel,40.386295805,-3.7309272123,15.4,#ecc8af
República de Colombia,Carabanchel,40.3759860732,-3.7371297831,27.3,#e7ad99
Cardenal Herrera Oria,Fuencarral - El Pardo,40.4826088139,-3.7110758224,27.3,#e7ad99
Jorge Guillén,Fuencarral - El Pardo,40.4753142252,-3.7077074438,57.1,#c18c5d
Luis de Góngora,Fuencarral - El Pardo,40.4745973035,-3.71441244598,33.3,#e7ad99
Carlos V,Ciudad Lineal,40.4372409871,-3.65440389423,100.0,#495867
Méjico (México),Ciudad Lineal,40.4434865151,-3.65080904918,100.0,#495867
Carmen Cabezuelo,San Blas - Canillejas,40.4301126077,-3.62883450607,0.0,#f18477
República de Chile,San Blas - Canillejas,40.4280985248,-3.62478391987,33.3,#e7ad99
Cervantes,Chamberí,40.4466126402,-3.70311394849,100.0,#495867
Ciudad Pegaso,San Blas - Canillejas,40.447240094,-3.59802748849,20.0,#ecc8af
Ciudad de Guadalajara,Barajas,40.4589474631,-3.58479185547,0.0,#f18477
Ciudad de Zaragoza,Barajas,40.4603021513,-3.59121986967,22.2,#ecc8af
Ciudad de Jaén,Usera,40.3725784823,-3.70126017556,21.4,#ecc8af
Ciudad de Roma,Retiro,40.4158639493,-3.66520562619,0.0,#f18477
Conde de Romanones,Ciudad Lineal,40.4374798611,-3.64233263817,33.3,#e7ad99
Cristóbal Colón,Villaverde,40.3503508,-3.70605797468,0.0,#f18477
Dámaso Alonso,Villaverde,40.3460447139,-3.70895673021,40.0,#e7ad99
Manuel de Falla,Villaverde,40.3462549882,-3.70550895275,40.0,#e7ad99
Nuestra Señora de la Luz,Villaverde,40.3436597271,-3.70561142986,33.3,#e7ad99
San Carlos,Villaverde,40.344022214,-3.71114912043,33.3,#e7ad99
San Roque,Villaverde,40.3468636797,-3.70319566344,50.0,#e7ad99
Daniel Vázquez Díaz,Moncloa - Aravaca,40.4647771119,-3.71302269425,0.0,#f18477
Escuelas Bosque,Moncloa - Aravaca,40.4589873398,-3.71253688173,11.8,#ecc8af
Eugenio María de Hostos,Moncloa - Aravaca,40.4691620845,-3.71777571781,87.5,#7b5a3c
Lepanto,Moncloa - Aravaca,40.4684390227,-3.72104730287,0.0,#f18477
Dionisio Ridruejo,Hortaleza,40.4730183544,-3.63454315614,66.7,#c18c5d
Filósofo Séneca,Hortaleza,40.478381552,-3.6502374704,100.0,#495867
Hortaleza,Hortaleza,40.4724406572,-3.647738241,-1.0,#000000
Pablo Picasso,Hortaleza,40.4707862667,-3.64715611626,16.7,#ecc8af
Pinar del Rey,Hortaleza,40.4716202449,-3.65424206261,90.9,#7b5a3c
San Miguel,Hortaleza,40.4744063898,-3.65222821453,80.0,#7b5a3c
Doctor Conde Arruga,Moratalaz,40.4038241047,-3.64357997378,50.0,#e7ad99
Pío Baroja,Moratalaz,40.4035400189,-3.63794419299,80.0,#7b5a3c
Doctor Federico Rubio,Tetuán,40.4524271206,-3.71134722929,100.0,#495867
Ignacio Zuloaga,Tetuán,40.4562549638,-3.71150553745,80.0,#7b5a3c
Doctor Severo Ochoa,Vicálvaro,40.4103110308,-3.61368210619,50.0,#e7ad99
Vicálvaro,Vicálvaro,40.4050257574,-3.60109491852,71.4,#c18c5d
EEUU - Huarte de San Juan,Moncloa - Aravaca,40.4287017947,-3.73370855742,100.0,#495867
Fernández de Moratín,Moncloa - Aravaca,40.4267332186,-3.72730948445,100.0,#495867
El Madroño,Puente de Vallecas,40.4022043001,-3.65448872295,66.7,#c18c5d
Fray Junípero Serra,Puente de Vallecas,40.3953095453,-3.65815724393,72.2,#c18c5d
El Sol,San Blas - Canillejas,40.4239973823,-3.61168458648,80.0,#7b5a3c
María Moliner,San Blas - Canillejas,40.4221740208,-3.6191180462,100.0,#495867
República de Panamá nº 1,San Blas - Canillejas,40.4262269,-3.6172453,50.0,#e7ad99
Ermita del Santo,Latina,40.4109198479,-3.72340306876,36.8,#e7ad99
Francisco de Goya,Latina,40.4111896128,-3.72779034086,50.0,#e7ad99
Joaquín Dicenta,Latina,40.4056359339,-3.738384162,-1.0,#000000
Escuelas Aguirre,Retiro,40.4145497025,-3.67435086048,21.4,#ecc8af
Esperanza,Hortaleza,40.4614426338,-3.64578080791,58.8,#c18c5d
